fuel,date,value
GA,2013-04-01,58
GA,2013-05-01,72
GA,2013-06-01,79
GA,2013-07-01,61
GA,2013-08-01,52
GA,2013-09-01,77
GA,2013-10-01,57
GA,2013-11-01,72
GA,2013-12-01,41
GA,2014-01-01,27
GA,2014-02-01,33
GA,2014-03-01,59
GA,2014-04-01,59
GA,2014-05-01,67
GA,2014-06-01,83
GA,2014-07-01,87
GA,2014-08-01,94
GA,2014-09-01,87
GA,2014-10-01,222
GA,2014-11-01,92
GA,2014-12-01,114
GA,2015-01-01,55
GA,2015-02-01,68
GA,2015-03-01,98
GA,2015-04-01,105
GA,2015-05-01,86
GA,2015-06-01,170
GA,2015-07-01,86
GA,2015-08-01,65
GA,2015-09-01,63
GA,2015-10-01,82
GA,2015-11-01,67
GA,2015-12-01,106
GA,2016-01-01,38
GA,2016-02-01,64
GA,2016-03-01,55
GA,2016-04-01,67
GA,2016-05-01,78
GA,2016-06-01,98
GA,2016-07-01,65
GA,2016-08-01,53
GA,2016-09-01,85
GA,2016-10-01,150
GA,2016-11-01,89
GA,2016-12-01,98
GA,2017-01-01,47
GA,2017-02-01,52
GA,2017-03-01,62
GA,2017-04-01,46
GA,2017-05-01,54
GA,2017-06-01,53
GA,2017-07-01,87
GA,2017-08-01,61
GA,2017-09-01,59
GA,2017-10-01,101
GA,2017-11-01,51
GA,2017-12-01,87
GA,2018-01-01,91
GA,2018-02-01,101
GA,2018-03-01,86
GA,2018-04-01,145
GA,2018-05-01,70
GA,2018-06-01,97
GA,2018-07-01,78
GA,2018-08-01,60
GA,2018-09-01,18
GA,2018-10-01,11
GA,2018-11-01,14
GA,2018-12-01,24
GA,2019-01-01,11
GA,2019-02-01,22
GA,2019-03-01,57
GA,2019-04-01,113
GA,2019-05-01,163
GA,2019-06-01,141
GA,2019-07-01,101
GA,2019-08-01,119
GA,2019-09-01,154
GA,2019-10-01,160
GA,2019-11-01,126
GA,2019-12-01,75
GA,2020-01-01,148
GA,2020-02-01,48
GA,2020-03-01,61
GA,2020-04-01,23
GA,2020-05-01,21
GA,2020-06-01,68
GA,2020-07-01,58
GA,2020-08-01,32
GA,2020-09-01,21
GA,2020-10-01,32
GA,2020-11-01,25
GA,2020-12-01,24
GA,2021-01-01,16
GA,2021-02-01,21
GA,2021-03-01,28
GA,2021-04-01,31
GA,2021-05-01,25
GA,2021-06-01,28
GA,2021-07-01,11
GA,2021-08-01,17
GA,2021-09-01,11
GA,2021-10-01,24
GA,2021-11-01,13
GA,2021-12-01,60
GA,2022-01-01,14
GA,2022-02-01,6
GA,2022-03-01,12
GA,2022-04-01,7
GA,2022-05-01,9
GA,2022-06-01,10
GA,2022-07-01,9
GA,2022-08-01,18
GA,2022-09-01,4
GA,2022-10-01,12
GA,2022-11-01,8
GA,2022-12-01,15
GA,2023-01-01,3
GA,2023-02-01,3
GA,2023-03-01,15
GA,2023-04-01,3
GA,2023-05-01,8
GA,2023-06-01,4
GA,2023-07-01,2
GA,2023-08-01,0
GA,2023-09-01,1
GA,2023-10-01,1
GA,2023-11-01,1
GA,2023-12-01,2
GA,2024-01-01,1
GA,2024-02-01,1
GA,2024-03-01,1
GA,2024-04-01,0
GA,2024-05-01,1
GA,2024-06-01,0
GA,2024-07-01,0
GA,2024-08-01,0
GA,2024-09-01,3
GA,2024-10-01,0
GA,2024-11-01,0
GA,2024-12-01,0
GA,2025-01-01,1
GA,2025-02-01,1
GA,2025-03-01,0
GA,2025-04-01,0
GA,2025-05-01,1
GA,2025-06-01,0
GA,2025-07-01,1
GA,2025-08-01,2
GA,2025-09-01,0
GA,2025-10-01,0
GA,2025-11-01,0
GA,2025-12-01,1
GA,2026-01-01,1
GA,2026-02-01,1
GA,2026-03-01,0
GA,2026-04-01,0
GA,2026-05-01,1
GA,2026-06-01,2
GA,2026-07-01,0
HD,2005-01-01,0
HD,2005-02-01,0
HD,2005-03-01,0
HD,2005-04-01,0
HD,2005-05-01,0
HD,2005-06-01,0
HD,2005-07-01,0
HD,2005-08-01,0
HD,2005-09-01,0
HD,2005-10-01,0
HD,2005-11-01,0
HD,2005-12-01,0
HD,2006-01-01,0
HD,2006-02-01,0
HD,2006-03-01,0
HD,2006-04-01,0
HD,2006-05-01,0
HD,2006-06-01,0
HD,2006-07-01,0
HD,2006-08-01,0
HD,2006-09-01,0
HD,2006-10-01,0
HD,2006-11-01,0
HD,2006-12-01,0
HD,2007-01-01,0
HD,2007-02-01,0
HD,2007-03-01,0
HD,2007-04-01,0
HD,2007-05-01,0
HD,2007-06-01,0
HD,2007-07-01,0
HD,2007-08-01,0
HD,2007-09-01,0
HD,2007-10-01,0
HD,2007-11-01,0
HD,2007-12-01,0
HD,2008-01-01,0
HD,2008-02-01,0
HD,2008-03-01,0
HD,2008-04-01,0
HD,2008-05-01,0
HD,2008-06-01,0
HD,2008-07-01,0
HD,2008-08-01,0
HD,2008-09-01,0
HD,2008-10-01,0
HD,2008-11-01,0
HD,2008-12-01,0
HD,2009-01-01,0
HD,2009-02-01,0
HD,2009-03-01,0
HD,2009-04-01,0
HD,2009-05-01,0
HD,2009-06-01,0
HD,2009-07-01,0
HD,2009-08-01,0
HD,2009-09-01,0
HD,2009-10-01,0
HD,2009-11-01,0
HD,2009-12-01,0
HD,2010-01-01,0
HD,2010-02-01,0
HD,2010-03-01,0
HD,2010-04-01,0
HD,2010-05-01,0
HD,2010-06-01,0
HD,2010-07-01,0
HD,2010-08-01,0
HD,2010-09-01,0
HD,2010-10-01,0
HD,2010-11-01,0
HD,2010-12-01,0
HD,2011-01-01,0
HD,2011-02-01,0
HD,2011-03-01,0
HD,2011-04-01,0
HD,2011-05-01,0
HD,2011-06-01,0
HD,2011-07-01,0
HD,2011-08-01,0
HD,2011-09-01,0
HD,2011-10-01,0
HD,2011-11-01,0
HD,2011-12-01,0
HD,2012-01-01,0
HD,2012-02-01,0
HD,2012-03-01,0
HD,2012-04-01,0
HD,2012-05-01,0
HD,2012-06-01,0
HD,2012-07-01,0
HD,2012-08-01,0
HD,2012-09-01,0
HD,2012-10-01,0
HD,2012-11-01,0
HD,2012-12-01,0
HD,2013-01-01,0
HD,2013-02-01,0
HD,2013-03-01,0
HD,2013-04-01,0
HD,2013-05-01,0
HD,2013-06-01,0
HD,2013-07-01,0
HD,2013-08-01,0
HD,2013-09-01,0
HD,2013-10-01,0
HD,2013-11-01,0
HD,2013-12-01,0
HD,2014-01-01,0
HD,2014-02-01,0
HD,2014-03-01,0
HD,2014-04-01,0
HD,2014-05-01,0
HD,2014-06-01,0
HD,2014-07-01,0
HD,2014-08-01,0
HD,2014-09-01,0
HD,2014-10-01,0
HD,2014-11-01,0
HD,2014-12-01,0
HD,2015-01-01,0
HD,2015-02-01,0
HD,2015-03-01,0
HD,2015-04-01,0
HD,2015-05-01,0
HD,2015-06-01,0
HD,2015-07-01,0
HD,2015-08-01,0
HD,2015-09-01,0
HD,2015-10-01,0
HD,2015-11-01,0
HD,2015-12-01,0
HD,2016-01-01,0
HD,2016-02-01,0
HD,2016-03-01,0
HD,2016-04-01,0
HD,2016-05-01,0
HD,2016-06-01,0
HD,2016-07-01,0
HD,2016-08-01,0
HD,2016-09-01,0
HD,2016-10-01,0
HD,2016-11-01,0
HD,2016-12-01,0
HD,2017-01-01,0
HD,2017-02-01,0
HD,2017-03-01,0
HD,2017-04-01,0
HD,2017-05-01,0
HD,2017-06-01,0
HD,2017-07-01,0
HD,2017-08-01,0
HD,2017-09-01,0
HD,2017-10-01,0
HD,2017-11-01,0
HD,2017-12-01,0
HD,2018-01-01,0
HD,2018-02-01,0
HD,2018-03-01,0
HD,2018-04-01,0
HD,2018-05-01,0
HD,2018-06-01,0
HD,2018-07-01,0
HD,2018-08-01,0
HD,2018-09-01,0
HD,2018-10-01,0
HD,2018-11-01,0
HD,2018-12-01,0
HD,2019-01-01,0
HD,2019-02-01,0
HD,2019-03-01,0
HD,2019-04-01,0
HD,2019-05-01,0
HD,2019-06-01,0
HD,2019-07-01,0
HD,2019-08-01,0
HD,2019-09-01,0
HD,2019-10-01,0
HD,2019-11-01,0
HD,2019-12-01,0
HD,2020-01-01,0
HD,2020-02-01,0
HD,2020-03-01,0
HD,2020-04-01,0
HD,2020-05-01,0
HD,2020-06-01,0
HD,2020-07-01,0
HD,2020-08-01,0
HD,2020-09-01,0
HD,2020-10-01,0
HD,2020-11-01,0
HD,2020-12-01,0
HD,2021-01-01,0
HD,2021-02-01,0
HD,2021-03-01,0
HD,2021-04-01,0
HD,2021-05-01,0
HD,2021-06-01,0
HD,2021-07-01,0
HD,2021-08-01,0
HD,2021-09-01,0
HD,2021-10-01,0
HD,2021-11-01,0
HD,2021-12-01,0
HD,2022-01-01,0
HD,2022-02-01,0
HD,2022-03-01,0
HD,2022-04-01,0
HD,2022-05-01,0
HD,2022-06-01,0
HD,2022-07-01,0
HD,2022-08-01,0
HD,2022-09-01,0
HD,2022-10-01,0
HD,2022-11-01,0
HD,2022-12-01,0
HD,2023-01-01,31
HD,2023-02-01,22
HD,2023-03-01,28
HD,2023-04-01,16
HD,2023-05-01,20
HD,2023-06-01,34
HD,2023-07-01,41
HD,2023-08-01,46
HD,2023-09-01,52
HD,2023-10-01,47
HD,2023-11-01,47
HD,2023-12-01,70
HD,2024-01-01,35
HD,2024-02-01,47
HD,2024-03-01,69
HD,2024-04-01,58
HD,2024-05-01,54
HD,2024-06-01,66
HD,2024-07-01,28
HD,2024-08-01,25
HD,2024-09-01,39
HD,2024-10-01,29
HD,2024-11-01,31
HD,2024-12-01,26
HD,2025-01-01,16
HD,2025-02-01,25
HD,2025-03-01,43
HD,2025-04-01,42
HD,2025-05-01,51
HD,2025-06-01,64
HD,2025-07-01,43
HD,2025-08-01,48
HD,2025-09-01,50
HD,2025-10-01,34
HD,2025-11-01,45
HD,2025-12-01,57
HD,2026-01-01,31
HD,2026-02-01,51
HD,2026-03-01,51
HD,2026-04-01,42
HD,2026-05-01,52
HD,2026-06-01,95
HD,2026-07-01,92
HP,2005-01-01,0
HP,2005-02-01,0
HP,2005-03-01,0
HP,2005-04-01,0
HP,2005-05-01,0
HP,2005-06-01,0
HP,2005-07-01,0
HP,2005-08-01,0
HP,2005-09-01,0
HP,2005-10-01,0
HP,2005-11-01,0
HP,2005-12-01,0
HP,2006-01-01,0
HP,2006-02-01,0
HP,2006-03-01,0
HP,2006-04-01,0
HP,2006-05-01,0
HP,2006-06-01,0
HP,2006-07-01,0
HP,2006-08-01,0
HP,2006-09-01,0
HP,2006-10-01,0
HP,2006-11-01,0
HP,2006-12-01,0
HP,2007-01-01,0
HP,2007-02-01,0
HP,2007-03-01,0
HP,2007-04-01,0
HP,2007-05-01,0
HP,2007-06-01,0
HP,2007-07-01,0
HP,2007-08-01,0
HP,2007-09-01,0
HP,2007-10-01,0
HP,2007-11-01,0
HP,2007-12-01,0
HP,2008-01-01,0
HP,2008-02-01,0
HP,2008-03-01,0
HP,2008-04-01,0
HP,2008-05-01,0
HP,2008-06-01,0
HP,2008-07-01,0
HP,2008-08-01,0
HP,2008-09-01,0
HP,2008-10-01,0
HP,2008-11-01,0
HP,2008-12-01,0
HP,2009-01-01,0
HP,2009-02-01,0
HP,2009-03-01,0
HP,2009-04-01,0
HP,2009-05-01,0
HP,2009-06-01,0
HP,2009-07-01,0
HP,2009-08-01,0
HP,2009-09-01,0
HP,2009-10-01,0
HP,2009-11-01,0
HP,2009-12-01,0
HP,2010-01-01,0
HP,2010-02-01,0
HP,2010-03-01,0
HP,2010-04-01,0
HP,2010-05-01,0
HP,2010-06-01,0
HP,2010-07-01,0
HP,2010-08-01,0
HP,2010-09-01,0
HP,2010-10-01,0
HP,2010-11-01,0
HP,2010-12-01,0
HP,2011-01-01,0
HP,2011-02-01,0
HP,2011-03-01,0
HP,2011-04-01,0
HP,2011-05-01,0
HP,2011-06-01,0
HP,2011-07-01,6
HP,2011-08-01,10
HP,2011-09-01,6
HP,2011-10-01,0
HP,2011-11-01,4
HP,2011-12-01,10
HP,2012-01-01,14
HP,2012-02-01,2
HP,2012-03-01,33
HP,2012-04-01,79
HP,2012-05-01,63
HP,2012-06-01,44
HP,2012-07-01,28
HP,2012-08-01,28
HP,2012-09-01,36
HP,2012-10-01,28
HP,2012-11-01,23
HP,2012-12-01,13
HP,2013-01-01,10
HP,2013-02-01,6
HP,2013-03-01,9
HP,2013-04-01,12
HP,2013-05-01,24
HP,2013-06-01,12
HP,2013-07-01,16
HP,2013-08-01,8
HP,2013-09-01,18
HP,2013-10-01,18
HP,2013-11-01,28
HP,2013-12-01,21
HP,2014-01-01,27
HP,2014-02-01,24
HP,2014-03-01,18
HP,2014-04-01,38
HP,2014-05-01,26
HP,2014-06-01,25
HP,2014-07-01,16
HP,2014-08-01,20
HP,2014-09-01,12
HP,2014-10-01,13
HP,2014-11-01,23
HP,2014-12-01,48
HP,2015-01-01,12
HP,2015-02-01,5
HP,2015-03-01,38
HP,2015-04-01,45
HP,2015-05-01,138
HP,2015-06-01,74
HP,2015-07-01,46
HP,2015-08-01,26
HP,2015-09-01,41
HP,2015-10-01,37
HP,2015-11-01,145
HP,2015-12-01,37
HP,2016-01-01,7
HP,2016-02-01,21
HP,2016-03-01,21
HP,2016-04-01,20
HP,2016-05-01,15
HP,2016-06-01,37
HP,2016-07-01,13
HP,2016-08-01,38
HP,2016-09-01,36
HP,2016-10-01,13
HP,2016-11-01,6
HP,2016-12-01,31
HP,2017-01-01,14
HP,2017-02-01,18
HP,2017-03-01,23
HP,2017-04-01,16
HP,2017-05-01,28
HP,2017-06-01,14
HP,2017-07-01,13
HP,2017-08-01,16
HP,2017-09-01,16
HP,2017-10-01,17
HP,2017-11-01,21
HP,2017-12-01,15
HP,2018-01-01,16
HP,2018-02-01,17
HP,2018-03-01,23
HP,2018-04-01,28
HP,2018-05-01,35
HP,2018-06-01,29
HP,2018-07-01,15
HP,2018-08-01,13
HP,2018-09-01,12
HP,2018-10-01,44
HP,2018-11-01,46
HP,2018-12-01,18
HP,2019-01-01,7
HP,2019-02-01,2
HP,2019-03-01,0
HP,2019-04-01,0
HP,2019-05-01,0
HP,2019-06-01,0
HP,2019-07-01,2
HP,2019-08-01,0
HP,2019-09-01,0
HP,2019-10-01,0
HP,2019-11-01,0
HP,2019-12-01,1
HP,2020-01-01,0
HP,2020-02-01,1
HP,2020-03-01,0
HP,2020-04-01,0
HP,2020-05-01,0
HP,2020-06-01,0
HP,2020-07-01,0
HP,2020-08-01,0
HP,2020-09-01,28
HP,2020-10-01,12
HP,2020-11-01,6
HP,2020-12-01,29
HP,2021-01-01,0
HP,2021-02-01,3
HP,2021-03-01,2
HP,2021-04-01,0
HP,2021-05-01,0
HP,2021-06-01,1
HP,2021-07-01,0
HP,2021-08-01,3
HP,2021-09-01,4
HP,2021-10-01,1
HP,2021-11-01,2
HP,2021-12-01,5
HP,2022-01-01,2
HP,2022-02-01,3
HP,2022-03-01,5
HP,2022-04-01,0
HP,2022-05-01,1
HP,2022-06-01,1
HP,2022-07-01,1
HP,2022-08-01,1
HP,2022-09-01,0
HP,2022-10-01,0
HP,2022-11-01,0
HP,2022-12-01,0
HP,2023-01-01,196
HP,2023-02-01,256
HP,2023-03-01,310
HP,2023-04-01,188
HP,2023-05-01,267
HP,2023-06-01,530
HP,2023-07-01,429
HP,2023-08-01,471
HP,2023-09-01,509
HP,2023-10-01,533
HP,2023-11-01,573
HP,2023-12-01,975
HP,2024-01-01,409
HP,2024-02-01,537
HP,2024-03-01,762
HP,2024-04-01,616
HP,2024-05-01,825
HP,2024-06-01,812
HP,2024-07-01,641
HP,2024-08-01,613
HP,2024-09-01,968
HP,2024-10-01,1035
HP,2024-11-01,1062
HP,2024-12-01,1562
HP,2025-01-01,940
HP,2025-02-01,922
HP,2025-03-01,1412
HP,2025-04-01,1348
HP,2025-05-01,1668
HP,2025-06-01,1818
HP,2025-07-01,1565
HP,2025-08-01,1420
HP,2025-09-01,1709
HP,2025-10-01,1710
HP,2025-11-01,1593
HP,2025-12-01,2097
HP,2026-01-01,1203
HP,2026-02-01,1299
HP,2026-03-01,1950
HP,2026-04-01,1555
HP,2026-05-01,1667
HP,2026-06-01,2360
HP,2026-07-01,1833
NM,2005-01-01,0
NM,2005-02-01,0
NM,2005-03-01,0
NM,2005-04-01,0
NM,2005-05-01,0
NM,2005-06-01,0
NM,2005-07-01,0
NM,2005-08-01,0
NM,2005-09-01,0
NM,2005-10-01,0
NM,2005-11-01,0
NM,2005-12-01,0
NM,2006-01-01,0
NM,2006-02-01,0
NM,2006-03-01,0
NM,2006-04-01,0
NM,2006-05-01,0
NM,2006-06-01,0
NM,2006-07-01,0
NM,2006-08-01,0
NM,2006-09-01,0
NM,2006-10-01,0
NM,2006-11-01,0
NM,2006-12-01,0
NM,2007-01-01,0
NM,2007-02-01,0
NM,2007-03-01,0
NM,2007-04-01,0
NM,2007-05-01,0
NM,2007-06-01,0
NM,2007-07-01,0
NM,2007-08-01,0
NM,2007-09-01,0
NM,2007-10-01,0
NM,2007-11-01,0
NM,2007-12-01,0
NM,2008-01-01,0
NM,2008-02-01,0
NM,2008-03-01,0
NM,2008-04-01,0
NM,2008-05-01,0
NM,2008-06-01,0
NM,2008-07-01,0
NM,2008-08-01,0
NM,2008-09-01,0
NM,2008-10-01,0
NM,2008-11-01,0
NM,2008-12-01,0
NM,2009-01-01,0
NM,2009-02-01,0
NM,2009-03-01,0
NM,2009-04-01,0
NM,2009-05-01,0
NM,2009-06-01,0
NM,2009-07-01,0
NM,2009-08-01,0
NM,2009-09-01,0
NM,2009-10-01,0
NM,2009-11-01,0
NM,2009-12-01,0
NM,2010-01-01,0
NM,2010-02-01,0
NM,2010-03-01,0
NM,2010-04-01,0
NM,2010-05-01,0
NM,2010-06-01,0
NM,2010-07-01,0
NM,2010-08-01,0
NM,2010-09-01,0
NM,2010-10-01,0
NM,2010-11-01,0
NM,2010-12-01,0
NM,2011-01-01,0
NM,2011-02-01,0
NM,2011-03-01,0
NM,2011-04-01,0
NM,2011-05-01,0
NM,2011-06-01,0
NM,2011-07-01,0
NM,2011-08-01,0
NM,2011-09-01,0
NM,2011-10-01,0
NM,2011-11-01,0
NM,2011-12-01,0
NM,2012-01-01,0
NM,2012-02-01,0
NM,2012-03-01,0
NM,2012-04-01,0
NM,2012-05-01,0
NM,2012-06-01,0
NM,2012-07-01,0
NM,2012-08-01,0
NM,2012-09-01,0
NM,2012-10-01,0
NM,2012-11-01,0
NM,2012-12-01,0
NM,2013-01-01,0
NM,2013-02-01,0
NM,2013-03-01,0
NM,2013-04-01,0
NM,2013-05-01,0
NM,2013-06-01,0
NM,2013-07-01,0
NM,2013-08-01,0
NM,2013-09-01,0
NM,2013-10-01,0
NM,2013-11-01,0
NM,2013-12-01,0
NM,2014-01-01,0
NM,2014-02-01,0
NM,2014-03-01,0
NM,2014-04-01,0
NM,2014-05-01,0
NM,2014-06-01,0
NM,2014-07-01,0
NM,2014-08-01,0
NM,2014-09-01,0
NM,2014-10-01,0
NM,2014-11-01,0
NM,2014-12-01,0
NM,2015-01-01,0
NM,2015-02-01,0
NM,2015-03-01,0
NM,2015-04-01,0
NM,2015-05-01,0
NM,2015-06-01,0
NM,2015-07-01,0
NM,2015-08-01,0
NM,2015-09-01,0
NM,2015-10-01,0
NM,2015-11-01,0
NM,2015-12-01,0
NM,2016-01-01,0
NM,2016-02-01,0
NM,2016-03-01,0
NM,2016-04-01,0
NM,2016-05-01,0
NM,2016-06-01,0
NM,2016-07-01,0
NM,2016-08-01,0
NM,2016-09-01,0
NM,2016-10-01,0
NM,2016-11-01,0
NM,2016-12-01,0
NM,2017-01-01,0
NM,2017-02-01,0
NM,2017-03-01,0
NM,2017-04-01,0
NM,2017-05-01,0
NM,2017-06-01,0
NM,2017-07-01,0
NM,2017-08-01,0
NM,2017-09-01,0
NM,2017-10-01,0
NM,2017-11-01,0
NM,2017-12-01,0
NM,2018-01-01,0
NM,2018-02-01,0
NM,2018-03-01,0
NM,2018-04-01,0
NM,2018-05-01,0
NM,2018-06-01,0
NM,2018-07-01,0
NM,2018-08-01,0
NM,2018-09-01,0
NM,2018-10-01,0
NM,2018-11-01,0
NM,2018-12-01,0
NM,2019-01-01,0
NM,2019-02-01,0
NM,2019-03-01,0
NM,2019-04-01,0
NM,2019-05-01,0
NM,2019-06-01,0
NM,2019-07-01,0
NM,2019-08-01,0
NM,2019-09-01,0
NM,2019-10-01,0
NM,2019-11-01,0
NM,2019-12-01,0
NM,2020-01-01,0
NM,2020-02-01,0
NM,2020-03-01,0
NM,2020-04-01,0
NM,2020-05-01,0
NM,2020-06-01,0
NM,2020-07-01,0
NM,2020-08-01,0
NM,2020-09-01,0
NM,2020-10-01,0
NM,2020-11-01,0
NM,2020-12-01,0
NM,2021-01-01,0
NM,2021-02-01,0
NM,2021-03-01,0
NM,2021-04-01,0
NM,2021-05-01,0
NM,2021-06-01,0
NM,2021-07-01,0
NM,2021-08-01,0
NM,2021-09-01,0
NM,2021-10-01,0
NM,2021-11-01,0
NM,2021-12-01,0
NM,2022-01-01,0
NM,2022-02-01,0
NM,2022-03-01,0
NM,2022-04-01,0
NM,2022-05-01,0
NM,2022-06-01,0
NM,2022-07-01,0
NM,2022-08-01,0
NM,2022-09-01,0
NM,2022-10-01,0
NM,2022-11-01,0
NM,2022-12-01,0
NM,2023-01-01,0
NM,2023-02-01,0
NM,2023-03-01,0
NM,2023-04-01,0
NM,2023-05-01,0
NM,2023-06-01,0
NM,2023-07-01,0
NM,2023-08-01,0
NM,2023-09-01,0
NM,2023-10-01,0
NM,2023-11-01,0
NM,2023-12-01,0
NM,2024-01-01,0
NM,2024-02-01,0
NM,2024-03-01,0
NM,2024-04-01,0
NM,2024-05-01,0
NM,2024-06-01,0
NM,2024-07-01,0
NM,2024-08-01,0
NM,2024-09-01,0
NM,2024-10-01,0
NM,2024-11-01,0
NM,2024-12-01,0
NM,2025-01-01,0
NM,2025-02-01,0
NM,2025-03-01,0
NM,2025-04-01,0
NM,2025-05-01,0
NM,2025-06-01,0
NM,2025-07-01,0
NM,2025-08-01,0
NM,2025-09-01,0
NM,2025-10-01,0
NM,2025-11-01,0
NM,2025-12-01,0
NM,2026-01-01,0
NM,2026-02-01,0
NM,2026-03-01,0
NM,2026-04-01,0
NM,2026-05-01,0
NM,2026-06-01,0
NM,2026-07-01,0
PC,2005-01-01,12143
PC,2005-02-01,11506
PC,2005-03-01,17086
PC,2005-04-01,20248
PC,2005-05-01,18043
PC,2005-06-01,19357
PC,2005-07-01,15537
PC,2005-08-01,13098
PC,2005-09-01,14670
PC,2005-10-01,13994
PC,2005-11-01,14217
PC,2005-12-01,14123
PC,2006-01-01,12253
PC,2006-02-01,11524
PC,2006-03-01,18783
PC,2006-04-01,17388
PC,2006-05-01,19167
PC,2006-06-01,20799
PC,2006-07-01,14248
PC,2006-08-01,11812
PC,2006-09-01,12919
PC,2006-10-01,13714
PC,2006-11-01,14300
PC,2006-12-01,15018
PC,2007-01-01,11385
PC,2007-02-01,12239
PC,2007-03-01,17423
PC,2007-04-01,16840
PC,2007-05-01,18026
PC,2007-06-01,20316
PC,2007-07-01,15404
PC,2007-08-01,13269
PC,2007-09-01,13350
PC,2007-10-01,15355
PC,2007-11-01,15779
PC,2007-12-01,13688
PC,2008-01-01,13214
PC,2008-02-01,13801
PC,2008-03-01,15351
PC,2008-04-01,18971
PC,2008-05-01,17745
PC,2008-06-01,19664
PC,2008-07-01,17012
PC,2008-08-01,12567
PC,2008-09-01,14390
PC,2008-10-01,15872
PC,2008-11-01,13086
PC,2008-12-01,15350
PC,2009-01-01,11507
PC,2009-02-01,11741
PC,2009-03-01,16117
PC,2009-04-01,17288
PC,2009-05-01,16142
PC,2009-06-01,18396
PC,2009-07-01,16315
PC,2009-08-01,12422
PC,2009-09-01,14306
PC,2009-10-01,15535
PC,2009-11-01,14944
PC,2009-12-01,15951
PC,2010-01-01,12219
PC,2010-02-01,12427
PC,2010-03-01,19847
PC,2010-04-01,18303
PC,2010-05-01,17293
PC,2010-06-01,22055
PC,2010-07-01,17109
PC,2010-08-01,13488
PC,2010-09-01,14841
PC,2010-10-01,16032
PC,2010-11-01,16013
PC,2010-12-01,18077
PC,2011-01-01,12905
PC,2011-02-01,14604
PC,2011-03-01,20125
PC,2011-04-01,18492
PC,2011-05-01,19120
PC,2011-06-01,18287
PC,2011-07-01,16585
PC,2011-08-01,14058
PC,2011-09-01,17187
PC,2011-10-01,17256
PC,2011-11-01,17688
PC,2011-12-01,18513
PC,2012-01-01,13929
PC,2012-02-01,14134
PC,2012-03-01,20574
PC,2012-04-01,17596
PC,2012-05-01,17621
PC,2012-06-01,24790
PC,2012-07-01,14660
PC,2012-08-01,12711
PC,2012-09-01,12054
PC,2012-10-01,14988
PC,2012-11-01,15449
PC,2012-12-01,17037
PC,2013-01-01,11872
PC,2013-02-01,12824
PC,2013-03-01,17428
PC,2013-04-01,17232
PC,2013-05-01,16468
PC,2013-06-01,17597
PC,2013-07-01,15284
PC,2013-08-01,12715
PC,2013-09-01,13384
PC,2013-10-01,15356
PC,2013-11-01,14696
PC,2013-12-01,17439
PC,2014-01-01,11718
PC,2014-02-01,12774
PC,2014-03-01,15933
PC,2014-04-01,16721
PC,2014-05-01,15608
PC,2014-06-01,16797
PC,2014-07-01,16085
PC,2014-08-01,11925
PC,2014-09-01,13045
PC,2014-10-01,15492
PC,2014-11-01,13448
PC,2014-12-01,18753
PC,2015-01-01,10268
PC,2015-02-01,12773
PC,2015-03-01,18379
PC,2015-04-01,16906
PC,2015-05-01,16128
PC,2015-06-01,19019
PC,2015-07-01,17035
PC,2015-08-01,13353
PC,2015-09-01,13592
PC,2015-10-01,14040
PC,2015-11-01,14068
PC,2015-12-01,16962
PC,2016-01-01,10809
PC,2016-02-01,12529
PC,2016-03-01,16787
PC,2016-04-01,16211
PC,2016-05-01,14632
PC,2016-06-01,17160
PC,2016-07-01,14270
PC,2016-08-01,12038
PC,2016-09-01,14383
PC,2016-10-01,12918
PC,2016-11-01,14592
PC,2016-12-01,19988
PC,2017-01-01,10457
PC,2017-02-01,12777
PC,2017-03-01,17942
PC,2017-04-01,15001
PC,2017-05-01,16581
PC,2017-06-01,17997
PC,2017-07-01,14185
PC,2017-08-01,13659
PC,2017-09-01,14346
PC,2017-10-01,14696
PC,2017-11-01,16121
PC,2017-12-01,17871
PC,2018-01-01,12955
PC,2018-02-01,13845
PC,2018-03-01,17598
PC,2018-04-01,17072
PC,2018-05-01,17438
PC,2018-06-01,19809
PC,2018-07-01,16041
PC,2018-08-01,13510
PC,2018-09-01,12611
PC,2018-10-01,14543
PC,2018-11-01,14698
PC,2018-12-01,16000
PC,2019-01-01,12407
PC,2019-02-01,13581
PC,2019-03-01,17985
PC,2019-04-01,17752
PC,2019-05-01,17396
PC,2019-06-01,17368
PC,2019-07-01,15639
PC,2019-08-01,11837
PC,2019-09-01,14653
PC,2019-10-01,15883
PC,2019-11-01,14567
PC,2019-12-01,19210
PC,2020-01-01,10145
PC,2020-02-01,10486
PC,2020-03-01,8878
PC,2020-04-01,4752
PC,2020-05-01,7810
PC,2020-06-01,13510
PC,2020-07-01,11486
PC,2020-08-01,7545
PC,2020-09-01,9549
PC,2020-10-01,9933
PC,2020-11-01,9563
PC,2020-12-01,11276
PC,2021-01-01,6886
PC,2021-02-01,7372
PC,2021-03-01,11559
PC,2021-04-01,9730
PC,2021-05-01,8714
PC,2021-06-01,10919
PC,2021-07-01,8529
PC,2021-08-01,6198
PC,2021-09-01,6857
PC,2021-10-01,6038
PC,2021-11-01,7169
PC,2021-12-01,8176
PC,2022-01-01,6280
PC,2022-02-01,6343
PC,2022-03-01,7893
PC,2022-04-01,6039
PC,2022-05-01,6717
